id;transaction_date;description;reference_number;was_proposed;was_posted;was_deleted;was_approved
1;2023-07-18;Monitored Orchestrator Iraq;Iran Re-engineered parsing;true;true;false;true
2;2023-07-18;drive;Franc orchid capacitor;false;false;true;true
3;2023-07-18;Regional out-of-the-box;Yuan reintermediate;false;false;true;false
4;2023-07-17;programming Berkshire;Point;false;false;false;false
5;2023-07-18;withdrawal sexy transmitting;Pa'anga Guernsey;false;true;false;true
6;2023-07-17;Corporate Brand;Health connect transmitting;false;false;true;true
7;2023-07-17;capability Buckinghamshire;View bypass Berkshire;false;false;true;false
8;2023-07-18;Soft silver salmon;generate Steel;false;false;false;false
9;2023-07-17;task-force bifurcated;methodologies Granite;true;true;false;false
10;2023-07-17;rich Steel initiatives;Somoni;false;true;true;false
