id;item_sequence;item_number;short_description;transaction_account_id
1;64258;microchip Technician optical;uniform Barbados;1
2;78387;Web;District back-end Awesome;2
3;94066;deposit;Nebraska;3
4;77746;multi-state Gourde;Accounts intangible Coordinator;4
5;96685;CSS system-worthy;back-end Ball;5
6;62895;pink;next-generation uniform services;6
7;38033;deposit Avon Futuna;payment disintermediate back-end;7
8;1980;Pizza Sleek;Orchestrator payment adapter;8
9;33647;Cambridgeshire rich;Steel Refined;9
10;334;Dakota;programming;10
